Program,Role,District,QuestionId,MetricName,CorrectCount,TotalRespondents,AccuracyPct
CLSS,Participant,Jabalpur,95,95_Correct,173.0,410.0,42.2
CLSS,Participant,Jhabua,95,95_Correct,163.0,478.0,34.1
CLSS,Participant,Katni,95,95_Correct,160.0,435.0,36.78
CLSS,Participant,Khandwa,95,95_Correct,152.0,423.0,35.93
CLSS,Participant,Khargone,95,95_Correct,149.0,416.0,35.82
CLSS,Participant,Mandla,95,95_Correct,253.0,624.0,40.54
CLSS,Participant,Mandsaur,95,95_Correct,178.0,550.0,32.36
CLSS,Participant,Morena,95,95_Correct,245.0,731.0,33.52
CLSS,Participant,Narmadapuram,95,95_Correct,245.0,585.0,41.88
CLSS,Participant,Narsinghpur,95,95_Correct,218.0,471.0,46.28
CLSS,Participant,Neemuch,95,95_Correct,130.0,340.0,38.24
CLSS,Participant,Niwari,95,95_Correct,52.0,143.0,36.36
CLSS,Participant,Panna,95,95_Correct,212.0,614.0,34.53
CLSS,Participant,Raisen,95,95_Correct,179.0,546.0,32.78
CLSS,Participant,Rajgarh,95,95_Correct,247.0,651.0,37.94
CLSS,Participant,Ratlam,95,95_Correct,262.0,760.0,34.47
CLSS,Participant,Rewa,95,95_Correct,135.0,397.0,34.01
CLSS,Participant,Sagar,95,95_Correct,175.0,479.0,36.53
CLSS,Participant,Satna,95,95_Correct,208.0,559.0,37.21
CLSS,Participant,Sehore,95,95_Correct,1.0,3.0,33.33
CLSS,Participant,Seoni,95,95_Correct,250.0,687.0,36.39
CLSS,Participant,Shahdol,95,95_Correct,112.0,321.0,34.89
CLSS,Participant,Shajapur,95,95_Correct,153.0,385.0,39.74
CLSS,Participant,Sheopur,95,95_Correct,104.0,234.0,44.44
CLSS,Participant,Shivpuri,95,95_Correct,115.0,412.0,27.91
CLSS,Participant,Sidhi,95,95_Correct,150.0,517.0,29.01
CLSS,Participant,Singrauli,95,95_Correct,79.0,251.0,31.47
CLSS,Participant,Tikamgarh,95,95_Correct,91.0,266.0,34.21
CLSS,Participant,Ujjain,95,95_Correct,198.0,548.0,36.13
CLSS,Participant,Umaria,95,95_Correct,101.0,256.0,39.45
CLSS,Participant,Vidisha,95,95_Correct,247.0,612.0,40.36
